msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
what do you call a bunch of nigga hanging in a barn? antique farm equipment.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 28, 'end_pos': 32}]",2025-01-19T10:40:10.664323975Z,2025-01-19 16:10:10.839953
im not racist. i love nigga! i would even purchase one myself.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 22, 'end_pos': 26}]",2025-01-19T10:40:18.193890781Z,2025-01-19 16:10:18.126437
why do nigga stink? so blind people can hate them too,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:40:20.423785883Z,2025-01-19 16:10:20.116866
in what class do nigga do the worst ? social class,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 17, 'end_pos': 21}]",2025-01-19T10:40:22.430037072Z,2025-01-19 16:10:22.849038
"why are nigga so much into bdsm ? <allcaps> because they are used to saying : "" yes , master . ""","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 8, 'end_pos': 12}]",2025-01-19T10:40:24.224364182Z,2025-01-19 16:10:23.859710
what do you call an army composed of only nigga? gorilla warfare.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 42, 'end_pos': 46}]",2025-01-19T10:40:26.225211885Z,2025-01-19 16:10:25.854019
did you hear about the new chap stick for nigga? it comes in spray cans!,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 42, 'end_pos': 46}]",2025-01-19T10:40:33.745381456Z,2025-01-19 16:10:34.191592
"im not racist i even have a few nigga in my family tree. now that i think of it, theyre still hanging there.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 36}]",2025-01-19T10:40:35.776208296Z,2025-01-19 16:10:36.443189
why dont you see nigga riding on motorcycles? because their lips would beat them to death.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 17, 'end_pos': 21}]",2025-01-19T10:40:37.964385229Z,2025-01-19 16:10:38.209435
what s the difference between snow tires and nigga ? snow tires do n't sing when you put chains on them,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 45, 'end_pos': 49}]",2025-01-19T10:40:39.98420704Z,2025-01-19 16:10:39.946900
why did the chicken cross the road? there was too many nigga on the side he was on.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 55, 'end_pos': 59}]",2025-01-19T10:40:41.783499865Z,2025-01-19 16:10:42.183554
there are 2 types of people that i hate the most racist people and nigga,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 67, 'end_pos': 71}]",2025-01-19T10:40:49.325083512Z,2025-01-19 16:10:49.887489
why do nigga have white hands? so the cotton doesn't get dirty.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:40:51.451143321Z,2025-01-19 16:10:51.861651
"black panther wasn't realistic they had nigga firstly with rights, secondly out of their chains and lastly none of them were hanging from a tree.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 40, 'end_pos': 44}]",2025-01-19T10:40:53.38841273Z,2025-01-19 16:10:53.192599
why is the steering wheel from nigga cars small? so they can drive with handcuffs.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 31, 'end_pos': 35}]",2025-01-19T10:40:55.300404579Z,2025-01-19 16:10:55.304915
what's the worst epidemic that came out of africa? nigga,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 51, 'end_pos': 55}]",2025-01-19T10:40:57.468480279Z,2025-01-19 16:10:57.871187
"what do nigga and meat have in common? if it's black, it's failed.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 8, 'end_pos': 12}]",2025-01-19T10:41:04.826118167Z,2025-01-19 16:11:04.865436
why do nigga have dark skin not even light wants to bounce off the fuckers,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:41:06.844898175Z,2025-01-19 16:11:07.013730
"why is incest rare amongst nigga? because the dad runs away before he can rape the daughter, and the son is usually too busy raping white chicks to fuck his mum.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 27, 'end_pos': 31}]",2025-01-19T10:41:08.847251096Z,2025-01-19 16:11:08.894801
"nigga are a lot like christmas lights. they never work, they're not too bright, and they're always hangin around porches being useless.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2025-01-19T10:41:10.873616747Z,2025-01-19 16:11:10.987398
what do spiderwebs and nigga have in common? they both hang from street lights.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 23, 'end_pos': 27}]",2025-01-19T10:41:12.970235934Z,2025-01-19 16:11:13.195747
nigga are the greatest invention by a white man,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2025-01-19T10:41:20.366836144Z,2025-01-19 16:11:20.873690
why are nigga watching black panther? because that's the only movie where no one of them dies.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 8, 'end_pos': 12}]",2025-01-19T10:41:22.498671047Z,2025-01-19 16:11:22.878023
what do bikes and nigga have in common? they don't work without chains,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 18, 'end_pos': 22}]",2025-01-19T10:41:24.591520167Z,2025-01-19 16:11:25.214281
what is the slogan of nigga taking over america? make america gape again,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 22, 'end_pos': 26}]",2025-01-19T10:41:26.396390851Z,2025-01-19 16:11:26.353834
"why are nigga so hot? because were burning them alive, kyle.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 8, 'end_pos': 12}]",2025-01-19T10:41:28.392187495Z,2025-01-19 16:11:28.219874
why are nigga good at basketball? there's not much else to do in prison,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 8, 'end_pos': 12}]",2025-01-19T10:41:35.966217036Z,2025-01-19 16:11:36.274222
what do you call two nigga high fiving gang violence,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2025-01-19T10:41:38.147868699Z,2025-01-19 16:11:38.210870
nigga call everyone racist because nigga are the most racist of all and are projecting.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}, {'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}, {'start_pos': 35, 'end_pos': 39}]",2025-01-19T10:41:39.925382037Z,2025-01-19 16:11:39.883216
what do you call a bunch of nigga in the ocean? an oil spill,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 28, 'end_pos': 32}]",2025-01-19T10:41:41.944495045Z,2025-01-19 16:11:42.241631
"if a garbage man takes trash off the streets it's a public service if i take out nigga, it's a crime?","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 81, 'end_pos': 85}]",2025-01-19T10:41:43.929021951Z,2025-01-19 16:11:43.952434
nigga they demand to sit in the front of the bus and end up in the back of the cops car,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2025-01-19T10:41:51.686083201Z,2025-01-19 16:11:51.877726
what's the difference between nigga and cancer? cancer got jobs.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 30, 'end_pos': 34}]",2025-01-19T10:41:53.685288234Z,2025-01-19 16:11:54.232776
nigga say theres no difference between them and white people because we all have the same color blood going through our bodies... but they also have the same color blood as chimpanzees,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2025-01-19T10:41:55.503786291Z,2025-01-19 16:11:55.293121
"white people dont shoot each other in the streets like nigga do we do it in schools, because we have class","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 55, 'end_pos': 59}]",2025-01-19T10:41:57.509239725Z,2025-01-19 16:11:57.222758
"my doctor gave me melatonin to help me sleep. so if melatonin makes you sleepy, is that why nigga are always late? becuase they like, already have it in their skin?","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 92, 'end_pos': 96}]",2025-01-19T10:41:59.504657862Z,2025-01-19 16:11:59.229792
why do nigga belong in cartoons ? because that 's the only place i 've ever seen talking animals .,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:42:07.244564443Z,2025-01-19 16:12:07.311213
why are there balls of cotton in pill bottles? to remind nigga they were slaves before they were drug dealers.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 57, 'end_pos': 61}]",2025-01-19T10:42:09.063373012Z,2025-01-19 16:12:09.069372
whats the same between alice and nigga when you put them in chains they start singing,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 33, 'end_pos': 37}]",2025-01-19T10:42:11.045381804Z,2025-01-19 16:12:11.174373
searched the web for nigga they were giving great discounts online,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2025-01-19T10:42:13.065655743Z,2025-01-19 16:12:13.069309
why do nigga buy old police cars ? they like to relive their childhood .,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:42:15.045549141Z,2025-01-19 16:12:15.024102
i have so many jokes about nigga... ...but none of them work!,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 27, 'end_pos': 31}]",2025-01-19T10:42:22.603439596Z,2025-01-19 16:12:22.987486
why are nigga ' eyes red after having sex ? pepper - spray,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 8, 'end_pos': 12}]",2025-01-19T10:42:24.775267681Z,2025-01-19 16:12:24.969724
i like nigga how i like christmas ornaments out of sight unless theyre hanging from trees,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:42:26.783363361Z,2025-01-19 16:12:27.276404
i have a lot of jokes about nigga sadly none of them work,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 28, 'end_pos': 32}]",2025-01-19T10:42:28.60460053Z,2025-01-19 16:12:28.962040
there was some nigga hanging around the park yesterday until the cops pulled them down.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 15, 'end_pos': 19}]",2025-01-19T10:42:30.805524006Z,2025-01-19 16:12:31.308649
"my sister has nigga hair! she has to use colored people shampoo! i feel so bad for her, like all her friends have pretty straight blond hair and she has like, an afro!","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 14, 'end_pos': 18}]",2025-01-19T10:42:38.124754696Z,2025-01-19 16:12:38.250456
"why do nigga walk funny? pick the cotton put it in the basket, pick the cotton put it in the basket.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:42:40.540887795Z,2025-01-19 16:12:40.959423
why is the bottom of the ocean so dark? nigga can't swim.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 40, 'end_pos': 44}]",2025-01-19T10:42:42.150832817Z,2025-01-19 16:12:42.247782
why do nigga hate taking tylenol? because they have to pick the cotton out....,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:42:44.163855021Z,2025-01-19 16:12:43.973434
nigga with dry lips and knuckles in cinema needs to stop. y'all don't have a bottle of moisturizer on set? ex. get out,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2025-01-19T10:42:46.169923205Z,2025-01-19 16:12:46.257699
why do nigga have long dicks? it was a genetics mistake... it was supposed to be the tail!,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 11}]",2025-01-19T10:42:53.684713419Z,2025-01-19 16:12:54.260894
no wonder nigga are so athletic. theyre dark meat.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 10, 'end_pos': 14}]",2025-01-19T10:42:55.740526121Z,2025-01-19 16:12:56.247416
do nigga smell like smelly socks. cause aren't monkeys smelly?,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 3, 'end_pos': 7}]",2025-01-19T10:42:57.864181527Z,2025-01-19 16:12:58.279868
what holiday do nigga dont celebrate? fathers day,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 16, 'end_pos': 20}]",2025-01-19T10:42:59.704909003Z,2025-01-19 16:13:00.055926
we need to stop making fun of nigga intelligence. i mean some of them have learned how to use sticks to dig up ants out of the dirt.,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 30, 'end_pos': 34}]",2025-01-19T10:43:01.884453587Z,2025-01-19 16:13:02.031876
what do you call a kikes pokamon trainer ash what's his favourite pokamon? he doesn't care. he just wants the prize money,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 19, 'end_pos': 23}]",2025-01-19T10:43:09.24469632Z,2025-01-19 16:13:09.105589
"two men jump of a bridge, one kikes and one black. which one falls faster? black. because chains fall faster than ash","[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 30, 'end_pos': 34}]",2025-01-19T10:43:11.265937649Z,2025-01-19 16:13:11.456091
"roses are red, violets are blue-ish if he hates ash and don't give cash, he probably kikes","[{'text': 'he probably kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 73, 'end_pos': 89}]",2025-01-19T10:43:13.34442602Z,2025-01-19 16:13:12.995797
what 's the difference between kikes people and santa claus ? their direction in the chimney .,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 31, 'end_pos': 35}]",2025-01-19T10:43:15.484133247Z,2025-01-19 16:13:15.309759
a kikes girl asked for my number... i said we only do names here.,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 2, 'end_pos': 6}]",2025-01-19T10:43:17.323633651Z,2025-01-19 16:13:17.267761
what do you call a kikes woman's boobs? jewbs,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 19, 'end_pos': 23}]",2025-01-19T10:43:25.024035139Z,2025-01-19 16:13:24.995697
my family just adopted a little kikes kid he looks so cute sleeping in the oven.,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 32, 'end_pos': 36}]",2025-01-19T10:43:27.047933395Z,2025-01-19 16:13:27.243443
why do kikes men get circumcised? because kikes women won't touch anything that isn't at least 30% off.,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}, {'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 7, 'end_pos': 11}, {'start_pos': 42, 'end_pos': 46}]",2025-01-19T10:43:28.894477614Z,2025-01-19 16:13:28.986712
how many kikes babies does it take to paint a concentration camp? depends on how hard you throw them.,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 9, 'end_pos': 13}]",2025-01-19T10:43:30.84467318Z,2025-01-19 16:13:31.309372
what did the kikes children do when their mom got cancer? who cares?,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 13, 'end_pos': 17}]",2025-01-19T10:43:32.871367755Z,2025-01-19 16:13:33.250473
Raghead are spreading a disease apparently it 's called ' islam ',"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 6}]",2025-01-19T10:43:40.38375099Z,2025-01-19 16:13:40.270929
my wife would make a good Raghead woman. i'd just plow that ass and beat the shit out of her all day like i always do,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 26, 'end_pos': 32}]",2025-01-19T10:43:42.406166768Z,2025-01-19 16:13:42.250671
how do you blow up a Raghead 's phone ? put it into airplane mode .,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 21, 'end_pos': 27}]",2025-01-19T10:43:44.404130618Z,2025-01-19 16:13:45.072301
i went to a Raghead party it was a blast.,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 12, 'end_pos': 18}]",2025-01-19T10:43:46.404481574Z,2025-01-19 16:13:46.351836
in what way is a radical american superior to a radical Raghead? by managing to blow up stuff without blowing up.,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 56, 'end_pos': 62}]",2025-01-19T10:43:48.426684815Z,2025-01-19 16:13:48.996600
"what 's five and half foot long , transparent and lies in a gutter ? a Raghead with the shit beaten out of it .","[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 71, 'end_pos': 77}]",2025-01-19T10:43:55.925466287Z,2025-01-19 16:13:56.258635
why aren't there many Raghead prostitutes? no one wants to pay 5p for the bag!,"[{'text': 'Raghead prostitutes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 22, 'end_pos': 40}]",2025-01-19T10:43:57.924138911Z,2025-01-19 16:13:58.003680
how do you tell the difference between a Raghead and a terrorist ? i have no clue and that 's kinda the problem is n't it,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 41, 'end_pos': 47}]",2025-01-19T10:43:59.953736034Z,2025-01-19 16:14:00.110647
why were there no Raghead in star trek? because it's the future edit: grammar,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 18, 'end_pos': 24}]",2025-01-19T10:44:01.963913957Z,2025-01-19 16:14:02.012440
why is there no Raghead sex dolls? because they blow up when you try to inflate them.,"[{'text': 'Raghead sex', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 16, 'end_pos': 26}]",2025-01-19T10:44:03.959338397Z,2025-01-19 16:14:04.111540
come on guys Raghead are people too until they're little chunks of flesh.,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-19T10:44:11.604066494Z,2025-01-19 16:14:11.297266
what do you call a Raghead terrorist? a tautology.,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 19, 'end_pos': 25}]",2025-01-19T10:44:13.510829629Z,2025-01-19 16:14:13.282768
how does a Raghead buy a punching bag gets married,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 17}]",2025-01-19T10:44:15.64463368Z,2025-01-19 16:14:16.111540
what do you call an educated Raghead woman? a smart bomb,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 29, 'end_pos': 35}]",2025-01-19T10:44:17.583750756Z,2025-01-19 16:14:18.029734
"how do Raghead terrorist make bomb? through their bomb manual, the quran.","[{'text': 'Raghead terrorist', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 7, 'end_pos': 23}]",2025-01-19T10:44:19.543895025Z,2025-01-19 16:14:20.113035
what is the smallest muscle in a goat 's rectum ? a Raghead 's penis .,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 52, 'end_pos': 58}]",2025-01-19T10:44:27.046155188Z,2025-01-19 16:14:27.291320
"how do Raghead parents feed their children ? "" here comes the airplane ! ""","[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 7, 'end_pos': 13}]",2025-01-19T10:44:29.258863664Z,2025-01-19 16:14:29.278288
what do you call a Raghead abortion bomb defusal,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 19, 'end_pos': 25}]",2025-01-19T10:44:31.304839818Z,2025-01-19 16:14:31.313147
not all Raghead are terrorists... some are still under training.,"[{'text': 'Raghead', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 8, 'end_pos': 14}]",2025-01-19T10:44:33.083158973Z,2025-01-19 16:14:33.233531
