Fragment,Method,text
sluts,Exact,They were called sluts for their behavior.
sluts,Adding Punctuation,They were called sl.uts for their behavior.
sluts,Adding Spaces,They were called sl uts for their behavior.
sluts,Partial Obfuscation,They were called s***s for their behavior.
sluts,Phonetic Play,They were called sluttss for their behavior.
sluts,Reversed Letters,They were called stuls for their behavior.
sluts,Combination of Methods,They were called sl.ut s for their behavior.
whores,Exact,They insultingly referred to them as whores.
whores,Adding Punctuation,They insultingly referred to them as wh.ores.
whores,Adding Spaces,They insultingly referred to them as who res.
whores,Partial Obfuscation,They insultingly referred to them as w***es.
whores,Phonetic Play,They insultingly referred to them as whorees.
whores,Reversed Letters,They insultingly referred to them as serohw.
whores,Combination of Methods,They insultingly referred to them as wh.ore s.
redneck virgin,Exact,They teased him for being a redneck virgin.
redneck virgin,Adding Punctuation,They teased him for being a red.neck vir.gin.
redneck virgin,Adding Spaces,They teased him for being a redn eck vir gin.
redneck virgin,Partial Obfuscation,They teased him for being a re*neck v***gin.
redneck virgin,Phonetic Play,They teased him for being a rednnneck virginn.
redneck virgin,Reversed Letters,They teased him for being a nigirv kcender.
redneck virgin,Combination of Methods,They teased him for being a red neck vir.gin.
cripple,Exact,He called himself a cripple after the accident.
cripple,Adding Punctuation,He called himself a cr.ipple after the accident.
cripple,Adding Spaces,He called himself a cri pple after the accident.
cripple,Partial Obfuscation,He called himself a c***pple after the accident.
cripple,Phonetic Play,He called himself a cripplle after the accident.
cripple,Reversed Letters,He called himself a elppirc after the accident.
cripple,Combination of Methods,He called himself a cr.ipp le after the accident.
rednecks,Exact,The rednecks gathered at the bar.
rednecks,Adding Punctuation,The red.necks gathered at the bar.
rednecks,Adding Spaces,The red necks gathered at the bar.
rednecks,Partial Obfuscation,The r***necks gathered at the bar.
rednecks,Phonetic Play,The reddnecks gathered at the bar.
rednecks,Reversed Letters,The skcender gathered at the bar.
rednecks,Combination of Methods,The red.neck s gathered at the bar.
zyklon,Exact,The term zyklon has a dark history.
zyklon,Adding Punctuation,The term zyk.lon has a dark history.
zyklon,Adding Spaces,The term zyk lon has a dark history.
zyklon,Partial Obfuscation,The term z***lon has a dark history.
zyklon,Phonetic Play,The term zykloonn has a dark history.
zyklon,Reversed Letters,The term nolkyz has a dark history.
zyklon,Combination of Methods,The term zyk.lo n has a dark history.
bitch nigga,Exact,"He shouted, 'You're a bitch nigga!'"
bitch nigga,Adding Punctuation,"He shouted, 'You're a bit.ch n.igga!'"
bitch nigga,Adding Spaces,"He shouted, 'You're a bit ch ni gga!'"
bitch nigga,Partial Obfuscation,"He shouted, 'You're a bi*ch n***ga!'"
bitch nigga,Phonetic Play,"He shouted, 'You're a bitccch niggaa!'"
bitch nigga,Reversed Letters,"He shouted, 'You're a chtib aggin!'"
bitch nigga,Combination of Methods,"He shouted, 'You're a bit..ch n igga!'"
nig,Exact,They shortened the word to nig in their slang.
nig,Adding Punctuation,They shortened the word to n.ig in their slang.
nig,Adding Spaces,They shortened the word to ni g in their slang.
nig,Partial Obfuscation,They shortened the word to n*** in their slang.
nig,Phonetic Play,They shortened the word to nigg in their slang.
nig,Reversed Letters,They shortened the word to gin in their slang.
nig,Combination of Methods,They shortened the word to n.i g in their slang.
y'all bitches,Exact,"He yelled, 'Y'all bitches better stop!'"
y'all bitches,Adding Punctuation,"He yelled, 'Y'all b.itches better stop!'"
y'all bitches,Adding Spaces,"He yelled, 'Y'all bit ches better stop!'"
y'all bitches,Partial Obfuscation,"He yelled, 'Y'all b***ches better stop!'"
y'all bitches,Phonetic Play,"He yelled, 'Y'all bittches better stop!'"
y'all bitches,Reversed Letters,"He yelled, 'Y'all sehctib better stop!'"
y'all bitches,Combination of Methods,"He yelled, 'Y'all b.itch es better stop!'"
wetbacks,Exact,He used the offensive term wetbacks in his rant.
wetbacks,Adding Punctuation,He used the offensive term wet.backs in his rant.
wetbacks,Adding Spaces,He used the offensive term wet backs in his rant.
wetbacks,Partial Obfuscation,He used the offensive term w***backs in his rant.
wetbacks,Phonetic Play,He used the offensive term wetbackss in his rant.
wetbacks,Reversed Letters,He used the offensive term skcabtew in his rant.
wetbacks,Combination of Methods,He used the offensive term wet.back s in his rant.
eat pussy,Exact,"He joked, 'I just want to eat pussy!'"
eat pussy,Adding Punctuation,"He joked, 'I just want to eat p.ussy!'"
eat pussy,Adding Spaces,"He joked, 'I just want to eat pu ssy!'"
eat pussy,Partial Obfuscation,"He joked, 'I just want to eat p***y!'"
eat pussy,Phonetic Play,"He joked, 'I just want to eat pussyy!'"
eat pussy,Reversed Letters,"He joked, 'I just want to eat yssup!'"
eat pussy,Combination of Methods,"He joked, 'I just want to eat p.u ssy!'"
your pussy,Exact,"He whispered, 'I love your pussy.'"
your pussy,Adding Punctuation,"He whispered, 'I love your p.ussy.'"
your pussy,Adding Spaces,"He whispered, 'I love your pu ssy.'"
your pussy,Partial Obfuscation,"He whispered, 'I love your p***y.'"
your pussy,Phonetic Play,"He whispered, 'I love your pussyy.'"
your pussy,Reversed Letters,"He whispered, 'I love your yssup.'"
your pussy,Combination of Methods,"He whispered, 'I love your p.uss y.'"
white power,Exact,"He chanted, 'White power!' during the rally."
white power,Adding Punctuation,"He chanted, 'Wh.ite power!' during the rally."
white power,Adding Spaces,"He chanted, 'White pow er!' during the rally."
white power,Partial Obfuscation,"He chanted, 'W***te power!' during the rally."
white power,Phonetic Play,"He chanted, 'Whittee powerr!' during the rally."
white power,Reversed Letters,"He chanted, 'retip rewop!' during the rally."
white power,Combination of Methods,"He chanted, 'Wh.ite pow er!' during the rally."
them bitches,Exact,I can't stand them bitches talking about me.
them bitches,Adding Punctuation,I can't stand th.em bitches talking about me.
them bitches,Adding Spaces,I can't stand them bit ches talking about me.
them bitches,Partial Obfuscation,I can't stand them b***ches talking about me.
them bitches,Phonetic Play,I can't stand them bittches talking about me.
them bitches,Reversed Letters,I can't stand sehctib meht talking about me.
them bitches,Combination of Methods,I can't stand th.em bit ches talking about me.
you a hoe,Exact,"He shouted, 'You a hoe!' in the argument."
you a hoe,Adding Punctuation,"He shouted, 'Yo.u a hoe!' in the argument."
you a hoe,Adding Spaces,"He shouted, 'You a ho e!' in the argument."
you a hoe,Partial Obfuscation,"He shouted, 'You a h***!' in the argument."
you a hoe,Phonetic Play,"He shouted, 'You a hoee!' in the argument."
you a hoe,Reversed Letters,"He shouted, 'eoh a uoy!' in the argument."
you a hoe,Combination of Methods,"He shouted, 'Yo.u a ho e!' in the argument."
kikes,Exact,He used the slur 'kikes' in his rant.
kikes,Adding Punctuation,He used the slur 'ki.kes' in his rant.
kikes,Adding Spaces,He used the slur 'ki kes' in his rant.
kikes,Partial Obfuscation,He used the slur 'k***es' in his rant.
kikes,Phonetic Play,He used the slur 'kiikess' in his rant.
kikes,Reversed Letters,He used the slur 'sekik' in his rant.
kikes,Combination of Methods,He used the slur 'ki.k es' in his rant.
dumb bitches,Exact,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you dumb bitch."
dumb bitches,Adding Punctuation,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you du.mb bit.ch."
dumb bitches,Adding Spaces,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you du mb bit ch."
dumb bitches,Partial Obfuscation,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you du*b bi**h."
dumb bitches,Phonetic Play,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you duuumb bittch."
dumb bitches,Reversed Letters,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you hctib bmud."
dumb bitches,Combination of Methods,"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you dum.b bit ch."
yo bitch,Exact,"He said, 'Yo bitch needs to calm down.'"
yo bitch,Adding Punctuation,"He said, 'Yo bi.tch needs to calm down.'"
yo bitch,Adding Spaces,"He said, 'Yo bi tch needs to calm down.'"
yo bitch,Partial Obfuscation,"He said, 'Yo b***h needs to calm down.'"
yo bitch,Phonetic Play,"He said, 'Yo bicth needs to calm down.'"
yo bitch,Reversed Letters,"He said, 'hctib oy needs to calm down.'"
yo bitch,Combination of Methods,"He said, 'Yo bi.tc h needs to calm down.'"
ugly ass bitch,Exact,They called her an ugly ass bitch in anger.
ugly ass bitch,Adding Punctuation,They called her an ugly ass bi.tch in anger.
ugly ass bitch,Adding Spaces,They called her an ugly ass bi tch in anger.
ugly ass bitch,Partial Obfuscation,They called her an ugly ass b***h in anger.
ugly ass bitch,Phonetic Play,They called her an ugly ass bicth in anger.
ugly ass bitch,Reversed Letters,They called her an hctib ssa ylgu in anger.
ugly ass bitch,Combination of Methods,They called her an ugly a ss bi.tch in anger.
booty bitches,Exact,They laughed at the booty bitches on stage.
booty bitches,Adding Punctuation,They laughed at the boo.ty bitches on stage.
booty bitches,Adding Spaces,They laughed at the booty bit ches on stage.
booty bitches,Partial Obfuscation,They laughed at the booty b***ches on stage.
booty bitches,Phonetic Play,They laughed at the booty bittches on stage.
booty bitches,Reversed Letters,They laughed at the sehctib ytoob on stage.
booty bitches,Combination of Methods,They laughed at the boo.ty bit ches on stage.
your bitch,Exact,"He said, 'Your bitch is too loud.'"
your bitch,Adding Punctuation,"He said, 'Your bi.tch is too loud.'"
your bitch,Adding Spaces,"He said, 'Your bi tch is too loud.'"
your bitch,Partial Obfuscation,"He said, 'Your b***h is too loud.'"
your bitch,Phonetic Play,"He said, 'Your bicth is too loud.'"
your bitch,Reversed Letters,"He said, 'hctib ruoy is too loud.'"
your bitch,Combination of Methods,"He said, 'Your bi.tc h is too loud.'"
ugly niggas,Exact,They joked about the ugly niggas in the photo.
ugly niggas,Adding Punctuation,They joked about the ugly n.iggas in the photo.
ugly niggas,Adding Spaces,They joked about the ugly ni ggas in the photo.
ugly niggas,Partial Obfuscation,They joked about the ugly n***gas in the photo.
ugly niggas,Phonetic Play,They joked about the ugly niggass in the photo.
ugly niggas,Reversed Letters,They joked about the sagg in ylgu in the photo.
ugly niggas,Combination of Methods,They joked about the ug ly n.iggas in the photo.
