msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
I used to be a necrophiliac until a rotten cuunt split on me.,"[{'text': 'cuunt', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 43, 'end_pos': 47}]",2025-01-20T07:20:11.578092271Z,2025-01-20 12:50:12.134367
They accused her of being a whore for no reason.,"[{'text': 'whore', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 28, 'end_pos': 32}]",2025-01-20T07:20:17.581704489Z,2025-01-20 12:50:18.137792
They accused her of being a whoree for no reason.,"[{'text': 'whoree', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 28, 'end_pos': 33}]",2025-01-20T07:20:31.096939452Z,2025-01-20 12:50:32.301544
The word slut is often used as an insult.,"[{'text': 'slut', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 9, 'end_pos': 12}]",2025-01-20T07:20:42.608930229Z,2025-01-20 12:50:43.199409
The word slutt is often used as an insult.,"[{'text': 'slutt', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 9, 'end_pos': 13}]",2025-01-20T07:20:56.12046353Z,2025-01-20 12:50:57.217346
He was labeled as a redneck due to his accent.,"[{'text': 'redneck', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 20, 'end_pos': 26}]",2025-01-20T07:21:02.129855266Z,2025-01-20 12:51:03.205646
Calling someone a retard is offensive.,"[{'text': 'retard', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 18, 'end_pos': 23}]",2025-01-20T07:21:27.154203141Z,2025-01-20 12:51:28.217484
Calling someone a retardd is offensive.,"[{'text': 'retardd', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 18, 'end_pos': 24}]",2025-01-20T07:21:35.16216547Z,2025-01-20 12:51:36.223020
He casually called his friend a niggah.,"[{'text': 'niggah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 37}]",2025-01-20T07:21:46.675852068Z,2025-01-20 12:51:47.370153
He casually called his friend a n.iggah.,"[{'text': 'n.iggah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 38}]",2025-01-20T07:21:48.677660191Z,2025-01-20 12:51:49.369806
He casually called his friend a ni ggah.,"[{'text': 'ni ggah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 38}]",2025-01-20T07:21:50.679422194Z,2025-01-20 12:51:51.368515
He casually called his friend a niggaah.,"[{'text': 'niggaah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 38}]",2025-01-20T07:22:00.18868209Z,2025-01-20 12:52:01.288020
He casually called his friend a n.igg ah.,"[{'text': 'n.igg', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 32, 'end_pos': 36}]",2025-01-20T07:22:04.188291123Z,2025-01-20 12:52:05.308637
Clan of retards...,"[{'text': 'retards', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 8, 'end_pos': 14}]",2025-01-20T07:22:06.193077719Z,2025-01-20 12:52:07.284547
Clan of retarddds...,"[{'text': 'retarddds...', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 8, 'end_pos': 19}]",2025-01-20T07:22:19.707566977Z,2025-01-20 12:52:20.363552
The negroes gathered at the town hall.,"[{'text': 'negroes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 10}]",2025-01-20T07:22:31.216138491Z,2025-01-20 12:52:32.351683
The ne.groes gathered at the town hall.,"[{'text': 'ne.gr', 'link': {'host': 'ne.gr'}}, {'text': 'oes gathered', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 20}]",2025-01-20T07:22:33.219403045Z,2025-01-20 12:52:34.280646
The ne groes gathered at the town hall.,"[{'text': 'ne groes gathered', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 20}]",2025-01-20T07:22:35.219964931Z,2025-01-20 12:52:36.295334
The neegroes gathered at the town hall.,"[{'text': 'neegroes gathered', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 20}]",2025-01-20T07:22:44.731062178Z,2025-01-20 12:52:45.287679
The ne.gr oes gathered at the town hall.,"[{'text': 'ne.gr', 'link': {'host': 'ne.gr'}}, {'text': ' oes gathered', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 21}]",2025-01-20T07:22:48.733931113Z,2025-01-20 12:52:49.282686
He insultingly referred to her as a femoid.,"[{'text': 'femoid', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 36, 'end_pos': 41}]",2025-01-20T07:22:50.734939639Z,2025-01-20 12:52:51.393513
He constantly complains about femoids on the internet.,"[{'text': 'femoids', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 30, 'end_pos': 36}]",2025-01-20T07:23:15.758307774Z,2025-01-20 12:53:16.339891
They were talking about that hoe at the party.,"[{'text': 'that hoe', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 24, 'end_pos': 31}]",2025-01-20T07:23:35.279082545Z,2025-01-20 12:53:36.339620
They were talking about that ho e at the party.,"[{'text': 'that ho', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 24, 'end_pos': 30}]",2025-01-20T07:23:39.284216214Z,2025-01-20 12:53:40.443568
He called them all a bunch of pussies.,"[{'text': 'pussies', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 30, 'end_pos': 36}]",2025-01-20T07:23:54.798317996Z,2025-01-20 12:53:55.346517
They cruelly called her a fat bitch.,"[{'text': 'her a fat bitch', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 20, 'end_pos': 34}]",2025-01-20T07:24:19.823624396Z,2025-01-20 12:54:20.484122
I can't believe you bitches did this.,"[{'text': 'you bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 16, 'end_pos': 26}]",2025-01-20T07:24:39.342616462Z,2025-01-20 12:54:40.492036
"She shouted, 'You're an ass bitch!'","[{'text': ""You're an ass bitch"", 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 14, 'end_pos': 32}]",2025-01-20T07:25:04.364749539Z,2025-01-20 12:55:05.379729
I can't deal with this hoe anymore.,"[{'text': 'this hoe', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 18, 'end_pos': 25}]",2025-01-20T07:25:23.885633654Z,2025-01-20 12:55:24.548304
I can't deal with this ho e anymore.,"[{'text': 'this ho', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 18, 'end_pos': 24}]",2025-01-20T07:25:27.885672427Z,2025-01-20 12:55:28.553797
They were acting like total cunts.,"[{'text': 'cunts', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 28, 'end_pos': 32}]",2025-01-20T07:25:43.406451331Z,2025-01-20 12:55:44.390679
They were acting like total cuntts.,"[{'text': 'cuntts', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 28, 'end_pos': 33}]",2025-01-20T07:25:56.914270711Z,2025-01-20 12:55:57.537801
They were called sluts for their behavior.,"[{'text': 'sluts', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 17, 'end_pos': 21}]",2025-01-20T07:26:08.425509386Z,2025-01-20 12:56:09.545985
They were called sluttss for their behavior.,"[{'text': 'sluttss', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 17, 'end_pos': 23}]",2025-01-20T07:26:21.940106773Z,2025-01-20 12:56:22.571193
They insultingly referred to them as whores.,"[{'text': 'whores', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 37, 'end_pos': 42}]",2025-01-20T07:26:27.94415391Z,2025-01-20 12:56:28.429830
They insultingly referred to them as whorees.,"[{'text': 'whorees', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 37, 'end_pos': 43}]",2025-01-20T07:26:41.481816652Z,2025-01-20 12:56:42.428883
They teased him for being a redneck virgin.,"[{'text': 'redneck virgin', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 28, 'end_pos': 41}]",2025-01-20T07:26:52.971483508Z,2025-01-20 12:56:54.025888
He called himself a cripple after the accident.,"[{'text': 'himself a cripple', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 10, 'end_pos': 26}]",2025-01-20T07:27:12.48608501Z,2025-01-20 12:57:13.438196
The rednecks gathered at the bar.,"[{'text': 'rednecks', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 4, 'end_pos': 11}]",2025-01-20T07:27:32.008708714Z,2025-01-20 12:57:32.603641
The term zyklon has a dark history.,"[{'text': 'zyklon', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 9, 'end_pos': 14}]",2025-01-20T07:27:57.035639595Z,2025-01-20 12:57:57.452777
"He shouted, 'You're a bitch nigga!'","[{'text': ""You're a bitch nigga"", 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 32}]",2025-01-20T07:28:16.553746616Z,2025-01-20 12:58:17.482592
"He shouted, 'You're a bitccch niggaa!'","[{'text': ""You're a bitccch niggaa!'"", 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 43}]",2025-01-20T07:28:30.066018873Z,2025-01-20 12:58:30.479306
They shortened the word to nig in their slang.,"[{'text': 'nig', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 27, 'end_pos': 29}]",2025-01-20T07:28:41.576885894Z,2025-01-20 12:58:42.500562
They shortened the word to nigg in their slang.,"[{'text': 'nigg', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 27, 'end_pos': 30}]",2025-01-20T07:28:49.584749953Z,2025-01-20 12:58:50.535609
"He yelled, 'Y'all bitches better stop!'","[{'text': ""Y'all bitches"", 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 12, 'end_pos': 24}]",2025-01-20T07:29:01.098208775Z,2025-01-20 12:59:01.491838
He used the offensive term wetbacks in his rant.,"[{'text': 'wetbacks', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 27, 'end_pos': 34}]",2025-01-20T07:29:20.613543851Z,2025-01-20 12:59:21.506629
"He joked, 'I just want to eat pussy!'","[{'text': 'eat pussy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 26, 'end_pos': 34}]",2025-01-20T07:29:45.641330146Z,2025-01-20 12:59:46.683630
"He joked, 'I just want to eat pussyy!'","[{'text': 'eat pussyy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 26, 'end_pos': 35}]",2025-01-20T07:29:59.151124373Z,2025-01-20 12:59:59.687658
"He whispered, 'I love your pussy.'","[{'text': 'your pussy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 22, 'end_pos': 31}]",2025-01-20T07:30:05.157509224Z,2025-01-20 13:00:05.698955
"He whispered, 'I love your pussyy.'","[{'text': 'your pussyy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 22, 'end_pos': 32}]",2025-01-20T07:30:18.671603494Z,2025-01-20 13:00:19.702162
"He chanted, 'White power!' during the rally.","[{'text': 'White power', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 13, 'end_pos': 23}]",2025-01-20T07:30:30.182471875Z,2025-01-20 13:00:30.729405
I can't stand them bitches talking about me.,"[{'text': 'them bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 14, 'end_pos': 25}]",2025-01-20T07:30:49.703746979Z,2025-01-20 13:00:50.558056
I can't stand th.em bitches talking about me.,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 20, 'end_pos': 26}]",2025-01-20T07:30:51.705169249Z,2025-01-20 13:00:52.532437
"He shouted, 'You a hoe!' in the argument.","[{'text': 'You a hoe', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 13, 'end_pos': 21}]",2025-01-20T07:31:09.21956315Z,2025-01-20 13:01:09.544609
"He shouted, 'Yo.u a hoe!' in the argument.","[{'text': 'u a hoe', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 16, 'end_pos': 22}]",2025-01-20T07:31:16.726249348Z,2025-01-20 13:01:17.555918
He used the slur 'kikes' in his rant.,"[{'text': 'kikes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 18, 'end_pos': 22}]",2025-01-20T07:31:34.243602516Z,2025-01-20 13:01:34.730086
"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you dumb bitch.","[{'text': 'you dumb bitch', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 83, 'end_pos': 96}]",2025-01-20T07:31:53.761379143Z,2025-01-20 13:01:54.779945
"RT  girl logic: ""if I say bye I don't actually mean it""  then don't fucken say bye you duuumb bittch.","[{'text': 'bittch', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 94, 'end_pos': 99}]",2025-01-20T07:32:07.273935968Z,2025-01-20 13:02:07.584489
"He said, 'Yo bitch needs to calm down.'","[{'text': 'Yo bitch', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 10, 'end_pos': 17}]",2025-01-20T07:32:18.788062493Z,2025-01-20 13:02:19.797699
They called her an ugly ass bitch in anger.,"[{'text': 'ass bitch', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 24, 'end_pos': 32}]",2025-01-20T07:32:38.306899436Z,2025-01-20 13:02:38.794707
They laughed at the booty bitches on stage.,"[{'text': 'booty bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 20, 'end_pos': 32}]",2025-01-20T07:32:57.82019426Z,2025-01-20 13:02:58.631990
They laughed at the boo.ty bitches on stage.,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 27, 'end_pos': 33}]",2025-01-20T07:33:05.325776597Z,2025-01-20 13:03:05.823983
"He said, 'Your bitch is too loud.'","[{'text': 'Your bitch', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 10, 'end_pos': 19}]",2025-01-20T07:33:22.842691093Z,2025-01-20 13:03:23.723327
They joked about the ugly niggas in the photo.,"[{'text': 'ugly niggas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 21, 'end_pos': 31}]",2025-01-20T07:33:42.363441853Z,2025-01-20 13:03:42.838848
They joked about the ugly n.iggas in the photo.,"[{'text': 'ugly n.iggas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 21, 'end_pos': 32}]",2025-01-20T07:33:44.364054763Z,2025-01-20 13:03:44.823652
They joked about the ugly ni ggas in the photo.,"[{'text': 'ugly ni ggas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 21, 'end_pos': 32}]",2025-01-20T07:33:51.869772905Z,2025-01-20 13:03:52.774552
They joked about the ugly n***gas in the photo.,"[{'text': 'ugly n***gas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 21, 'end_pos': 32}]",2025-01-20T07:33:53.873438127Z,2025-01-20 13:03:54.768894
They joked about the ugly niggass in the photo.,"[{'text': 'ugly niggass', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 21, 'end_pos': 32}]",2025-01-20T07:33:55.873822298Z,2025-01-20 13:03:56.822978
They joked about the ug ly n.iggas in the photo.,"[{'text': 'n.iggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 27, 'end_pos': 33}]",2025-01-20T07:33:59.876918516Z,2025-01-20 13:04:00.791408
